"Edition 1 (2011)"
"Structure name","ASGS geography","Reference date","URL"
"Main Structure and Greater Capital City Statistical Areas","Australia (AUS)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/AUST/MapServer"
,"State and Territory (STE)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/STE/MapServer"
,"Greater Capital City Statistical Areas (GCCSAs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/GCCSA/MapServer"
,"Statistical Areas Level 4 (SA4s)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SA4/MapServer"
,"Statistical Areas Level 3 (SA3s)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SA3/MapServer"
,"Statistical Areas Level 2 (SA2s)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SA2/MapServer"
,"Statistical Areas Level 1 (SA1s)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SA1/MapServer"
,"Mesh Blocks (MBs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/MB/MapServer"
"Indigenous Structure","Indigenous Regions (IREGs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer"
,"Indigenous Areas (IAREs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IARE/MapServer"
,"Indigenous Locations (ILOCs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/ILOC/MapServer"
"Significant Urban Areas, Urban Centres and Localities and Section of State","Significant Urban Areas (SUAs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SUA/MapServer"
,"Urban Centres and Localities (UCLs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/UCL/MapServer"
,"Section of State (SOS)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SOS/MapServer"
,"Section of State Range (SOSR)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SOSR/MapServer"
"Remoteness Structure","Remoteness Areas (RAs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/RA/MapServer"
"Non ABS Structures","Commonwealth Electoral Divisions (CEDs)","2012","https://geo.abs.gov.au/arcgis/rest/services/ASGS2012/CED/MapServer"
,"Commonwealth Electoral Divisions (CEDs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/CED/MapServer"
,"State Electoral Divisions (SEDs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SED/MapServer"
,"Local Government Areas (LGAs)","2015","https://geo.abs.gov.au/arcgis/rest/services/ASGS2015/LGA/MapServer"
,"Local Government Areas (LGAs)","2014","https://geo.abs.gov.au/arcgis/rest/services/ASGS2014/LGA/MapServer"
,"Local Government Areas (LGAs)","2013","https://geo.abs.gov.au/arcgis/rest/services/ASGS2013/LGA/MapServer"
,"Local Government Areas (LGAs)","2012","https://geo.abs.gov.au/arcgis/rest/services/ASGS2012/LGA/MapServer"
,"Local Government Areas (LGAs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer"
,"Postal Area (POAs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/POA/MapServer"
,"State Suburb (SSCs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SSC/MapServer"
,"Australian Drainage Division (ADDs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/ADD/MapServer"
,"Natural Resource Management Regions (NRMRs)","2011","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/NRMR/MapServer"
,"Tourism Regions (TRs)","2015","https://geo.abs.gov.au/arcgis/rest/services/ASGS2015/TR/MapServer"

"Source: Australian Bureau of Statistics, Data services and APIs July 2021 - June 2026"
