"Edition 2 (2016)"
"Structure name","ASGS geography","Reference Date","URL"
"Main Structure and Greater Capital City Statistical Areas","Australia (AUS)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/AUS/MapServer"
,"State and Territory (STE)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/STATE/MapServer"
,"Greater Capital City Statistical Areas (GCCSAs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/GCCSA/MapServer"
,"Statistical Areas Level 4 (SA4s)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SA4/MapServer"
,"Statistical Areas Level 3 (SA3s)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SA3/MapServer"
,"Statistical Areas Level 2 (SA2s)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SA2/MapServer"
,"Statistical Areas Level 1 (SA1s)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SA1/MapServer"
,"Mesh Blocks (MBs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/MB/MapServer"
"Indigenous Structure","Indigenous Regions (IREGs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/IREG/MapServer"
,"Indigenous Areas (IAREs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/IARE/MapServer"
,"Indigenous Locations (ILOCs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/ILOC/MapServer"
"Significant Urban Areas, Urban Centres and Localities and Section of State","Significant Urban Areas (SUAs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SUA/MapServer"
,"Urban Centres and Localities (UCLs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/UCL/MapServer"
,"Section of State (SOS)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SOS/MapServer"
,"Section of State Range (SOSR)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SOSR/MapServer"
"Remoteness Structure","Remoteness Areas (RAs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/RA/MapServer"
"Non ABS Structures","Commonwealth Electoral Divisions (CEDs)","2018","https://geo.abs.gov.au/arcgis/rest/services/ASGS2018/CED/MapServer"
,"Commonwealth Electoral Divisions (CEDs)","2017","https://geo.abs.gov.au/arcgis/rest/services/ASGS2017/CED/MapServer"
,"Commonwealth Electoral Divisions (CEDs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/CED/MapServer"
,"State Electoral Divisions (SEDs)","2020","https://geo.abs.gov.au/arcgis/rest/services/ASGS2020/SED/MapServer"
,"State Electoral Divisions (SEDs)","2019","https://geo.abs.gov.au/arcgis/rest/services/ASGS2019/SED/MapServer"
,"State Electoral Divisions (SEDs)","2018","https://geo.abs.gov.au/arcgis/rest/services/ASGS2018/SED/MapServer"
,"State Electoral Divisions (SEDs)","2017","https://geo.abs.gov.au/arcgis/rest/services/ASGS2017/SED/MapServer"
,"State Electoral Divisions (SEDs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SED/MapServer"
,"Local Government Areas (LGAs)","2020","https://geo.abs.gov.au/arcgis/rest/services/ASGS2020/LGA/MapServer"
,"Local Government Areas (LGAs)","2019","https://geo.abs.gov.au/arcgis/rest/services/ASGS2019/LGA/MapServer"
,"Local Government Areas (LGAs)","2018","https://geo.abs.gov.au/arcgis/rest/services/ASGS2018/LGA/MapServer"
,"Local Government Areas (LGAs)","2017","https://geo.abs.gov.au/arcgis/rest/services/ASGS2017/LGA/MapServer"
,"Local Government Areas (LGAs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/LGA/MapServer"
,"Postal Areas (POAs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/POA/MapServer"
,"State Suburbs (SSCs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SSC/MapServer"
,"Australian Drainage Divisions (ADDs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/ADD/MapServer"
,"National Resource Management Regions (NRMRs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/NRMR/MapServer"
,"Tourism Regions (TRs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/TR/MapServer"
"Not applicable","Destination Zones (DZNs)","2016","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/DZN/MapServer"

"Source: Australian Bureau of Statistics, Data services and APIs July 2021 - June 2026"
